locus_tag,gene_name,accession,old_locus_tag,start,end,strand,gene_product,COG,uniprot,operon
SGL_RS04080,SGL_RS04080,NC_000911.1,slr1599,465750,466493,+,NnrU family protein,Function unknown,,Op1364
SGL_RS04085,SGL_RS04085,NC_000911.1,slr1600,466588,467037,+,YlqD family protein,Function unknown,A0A6P1VDL3_9SYNC,Op2120
SGL_RS04090,psaM,NC_000911.1,smr0005,467201,467296,+,photosystem I reaction center subunit XII,No COG annotation,A0A6P1VDG3_9SYNC,Op1670
SGL_RS04095,SGL_RS04095,NC_000911.1,slr1601,467436,467813,+,hypothetical protein,No COG annotation,A0A6P1VHC9_9SYNC,Op2490
SGL_RS04100,lpxC,NC_000911.1,sll1508,467836,468666,-,UDP-3-O-acyl-N-acetylglucosamine deacetylase,Cell wall/membrane/envelope biogenesis,,Op2075
SGL_RS04105,SGL_RS04105,NC_000911.1,sll1507,469001,469531,-,alpha/beta hydrolase,Function unknown,A0A6P1VGK2_9SYNC,Op379
SGL_RS04110,SGL_RS04110,NC_000911.1,slr1603,469592,470914,+,hypothetical protein,Function unknown,,Op638
SGL_RS04115,ftsH3,NC_000911.1,slr1604,471080,472930,+,ATP-dependent zinc metalloprotease FtsH3,"Post-translational modification, protein turnover, and chaperones",A0A6P1VKY5_9SYNC,Op1685
SGL_RS04120,SGL_RS04120,NC_000911.1,,473139,473675,+,IS5 family transposase,"Replication, recombination and repair",,
SGL_RS04125,SGL_RS04125,NC_000911.1,ssl2923,473953,474204,-,type II toxin-antitoxin system VapC family toxin,No COG annotation,,Op1228
SGL_RS04130,SGL_RS04130,NC_000911.1,ssl2922,474205,474432,-,virulence factor,Function unknown,,Op1228
SGL_RS04135,SGL_RS04135,NC_000911.1,,474511,474792,-,type II toxin-antitoxin system mRNA interferase toxin%2C RelE/StbE family,No COG annotation,,
SGL_RS04140,SGL_RS04140,NC_000911.1,ssl2920,474789,475007,-,hypothetical protein,No COG annotation,,Op1710
SGL_RS04145,SGL_RS04145,NC_000911.1,sll1505,475110,475445,-,DUF86 domain-containing protein,Function unknown,,Op400
SGL_RS04150,SGL_RS04150,NC_000911.1,sll1504,475435,475743,-,nucleotidyltransferase family protein,Function unknown,,Op400
SGL_RS04155,SGL_RS04155,NC_000911.1,sll1503,475873,477399,-,reverse transcriptase domain-containing protein,"Replication, recombination and repair",,Op1584
SGL_RS04160,gltB,NC_000911.1,sll1502,477668,482320,-,glutamate synthase large subunit,Amino acid transport and metabolism,,Op2567
SGL_RS18685,SGL_RS18685,NC_000911.1,,482542,483199,+,Uma2 family endonuclease,No COG annotation,,
SGL_RS04175,SGL_RS04175,NC_000911.1,slr1608,483326,484564,+,PQQ-dependent sugar dehydrogenase,Carbohydrate transport and metabolism,,Op2679
SGL_RS04180,cobB,NC_000911.1,sll1501,484799,486247,-,hydrogenobyrinic acid a%2Cc-diamide synthase (glutamine-hydrolyzing),Nucleotide transport and metabolism,,Op130
SGL_RS04185,SGL_RS04185,NC_000911.1,sll1500,486244,487353,-,TIGR00303 family protein,Coenzyme transport and metabolism,,Op130
SGL_RS04190,SGL_RS04190,NC_000911.1,slr1609,487467,489377,+,AMP-binding protein,Lipid transport and metabolism,,Op12
SGL_RS04195,SGL_RS04195,NC_000911.1,slr1041,489722,490888,+,response regulator,Transcription,,Op662
SGL_RS04200,SGL_RS04200,NC_000911.1,slr1042,491084,491449,+,response regulator,Transcription,A0A6P1VPL1_9SYNC,Op1631
SGL_RS04205,SGL_RS04205,NC_000911.1,slr1043,491496,492059,+,chemotaxis protein CheW,Cell motility,,Op346
SGL_RS04210,SGL_RS04210,NC_000911.1,slr1044,492130,494739,+,methyl-accepting chemotaxis protein,Cell motility,,Op842
SGL_RS04215,SGL_RS04215,NC_000911.1,slr1045,494828,495619,+,MlaE family lipid ABC transporter permease subunit,"Intracellular trafficking, secretion, and vesicular transport",,Op37
SGL_RS04220,SGL_RS04220,NC_000911.1,slr1046,495749,496006,+,TatA/E family twin arginine-targeting protein translocase,"Intracellular trafficking, secretion, and vesicular transport",A0A6P1VHE5_9SYNC,Op1541
SGL_RS04225,SGL_RS04225,NC_000911.1,slr1047,496450,497844,+,sensor domain-containing diguanylate cyclase,Signal transduction mechanisms,,Op676
SGL_RS19430,SGL_RS19430,NC_000911.1,,497906,498073,+,hypothetical protein,No COG annotation,,
SGL_RS04230,sbcC,NC_000911.1,slr1048,498076,501096,+,exonuclease subunit SbcC,"Replication, recombination and repair",,Op1826
SGL_RS04235,SGL_RS04235,NC_000911.1,sll1011,501178,501966,-,pentapeptide repeat-containing protein,"Post-translational modification, protein turnover, and chaperones",A0A6P1VLF3_9SYNC,Op573
SGL_RS04240,rpmF,NC_000911.1,ssr1736,502042,502215,+,50S ribosomal protein L32,"Translation, ribosomal structure and biogenesis",A0A068MWC0_SYNY4,Op2541
SGL_RS04240,rpmF,NC_000911.1,ssr1736,502042,502215,+,50S ribosomal protein L32,"Translation, ribosomal structure and biogenesis",A0A6P1VGM3_9SYNC,Op2541
SGL_RS04245,SGL_RS04245,NC_000911.1,slr1050,502314,503747,+,dolichyl-phosphate-mannose--protein mannosyltransferase,"Post-translational modification, protein turnover, and chaperones",,Op271
SGL_RS04250,fabI,NC_000911.1,slr1051,503943,504719,+,enoyl-ACP reductase FabI,Lipid transport and metabolism,A0A6P1VNV1_9SYNC,Op767
SGL_RS04255,SGL_RS04255,NC_000911.1,slr1052,504755,505267,+,tetratricopeptide repeat protein,Function unknown,,Op767
SGL_RS04260,SGL_RS04260,NC_000911.1,slr1053,505356,506159,+,DUF2993 domain-containing protein,Function unknown,,Op2390
SGL_RS04265,SGL_RS04265,NC_000911.1,sll1009,506252,508027,-,calcium-binding protein,"Secondary metabolites biosynthesis, transport, and catabolism",,Op2321
SGL_RS04275,SGL_RS04275,NC_000911.1,slr1055,508515,512510,+,magnesium chelatase subunit H,Coenzyme transport and metabolism,,Op1781
SGL_RS04280,SGL_RS04280,NC_000911.1,slr1056,512615,514633,+,ATP-dependent endonuclease,No COG annotation,,Op1644
SGL_RS04285,SGL_RS04285,NC_000911.1,sll1006,514847,515926,-,DUF2157 domain-containing protein,No COG annotation,,Op1400
SGL_RS04290,mazG,NC_000911.1,sll1005,516088,516897,-,nucleoside triphosphate pyrophosphohydrolase,Function unknown,,Op2630
SGL_RS04295,SGL_RS04295,NC_000911.1,sll1004,517027,518211,-,glycosyltransferase family 2 protein,Cell wall/membrane/envelope biogenesis,,Op1523
SGL_RS04300,SGL_RS04300,NC_000911.1,sll1003,518287,520272,-,PAS domain S-box protein,Signal transduction mechanisms,,Op282
SGL_RS18690,SGL_RS18690,NC_000911.1,,520682,520840,-,DUF4351 domain-containing protein,No COG annotation,,
SGL_RS18695,SGL_RS18695,NC_000911.1,,520889,521357,-,transposase,"Replication, recombination and repair",,
SGL_RS04310,SGL_RS04310,NC_000911.1,sll1002,521483,522853,-,MlaD family protein,"Secondary metabolites biosynthesis, transport, and catabolism",,Op2649
SGL_RS04315,SGL_RS04315,NC_000911.1,sll1001,523016,523798,-,ABC transporter ATP-binding protein,"Secondary metabolites biosynthesis, transport, and catabolism",,Op385
SGL_RS04320,SGL_RS04320,NC_000911.1,ssl1918,523821,524093,-,hypothetical protein,"Replication, recombination and repair",A0A6P1VG75_9SYNC,Op385
SGL_RS04325,SGL_RS04325,NC_000911.1,slr1753,524382,529595,+,CHAT domain-containing protein,"Intracellular trafficking, secretion, and vesicular transport",,Op1639
SGL_RS04330,SGL_RS04330,NC_000911.1,slr1755,529735,530688,+,NAD(P)H-dependent glycerol-3-phosphate dehydrogenase,Lipid transport and metabolism,A0A6P1VGQ1_9SYNC,Op2244
SGL_RS04335,SGL_RS04335,NC_000911.1,sll1647,530717,531235,-,GNAT family N-acetyltransferase,Cell wall/membrane/envelope biogenesis,A0A6P1VEX0_9SYNC,Op2540
SGL_RS04340,glnA,NC_000911.1,slr1756,531446,532867,+,type I glutamate--ammonia ligase,Amino acid transport and metabolism,A0A6P1VBQ4_9SYNC,Op445
SGL_RS04345,SGL_RS04345,NC_000911.1,slr1759,533113,537474,+,response regulator,Signal transduction mechanisms,,Op850
SGL_RS04350,SGL_RS04350,NC_000911.1,slr1760,537471,538418,+,PleD family two-component system response regulator,Signal transduction mechanisms,,Op850
SGL_RS04355,SGL_RS04355,NC_000911.1,slr1761,538415,539020,+,FKBP-type peptidyl-prolyl cis-trans isomerase,"Post-translational modification, protein turnover, and chaperones",,Op850
SGL_RS04360,SGL_RS04360,NC_000911.1,sll1643,539288,539854,-,5-formyltetrahydrofolate cyclo-ligase,Coenzyme transport and metabolism,,Op2346
SGL_RS04365,SGL_RS04365,NC_000911.1,slr1762,540011,540763,+,HAD family hydrolase,Function unknown,,Op2657
SGL_RS04370,SGL_RS04370,NC_000911.1,slr1763,540863,542065,+,class I SAM-dependent methyltransferase,Function unknown,,Op1073
SGL_RS04375,SGL_RS04375,NC_000911.1,sll1642,542105,542596,-,hypothetical protein,No COG annotation,,Op2465
SGL_RS04380,SGL_RS04380,NC_000911.1,slr1764,542803,543342,+,TerD family protein,Signal transduction mechanisms,,Op748
SGL_RS04385,SGL_RS04385,NC_000911.1,sll1641,543468,544871,-,glutamate decarboxylase,Amino acid transport and metabolism,,Op1696
SGL_RS04390,SGL_RS04390,NC_000911.1,ssr2962,545029,545253,+,DUF433 domain-containing protein,Function unknown,,Op392
SGL_RS04395,SGL_RS04395,NC_000911.1,slr1767,545250,545588,+,DUF5615 family PIN-like protein,Function unknown,,Op392
SGL_RS04400,SGL_RS04400,NC_000911.1,sll1640,545591,546556,-,carbon-nitrogen hydrolase family protein,Function unknown,,Op1983
SGL_RS04405,SGL_RS04405,NC_000911.1,sll1639,546553,547365,-,urease accessory protein UreD,"Post-translational modification, protein turnover, and chaperones",,Op1983
SGL_RS04410,psbQ,NC_000911.1,sll1638,547425,547874,-,photosystem II protein PsbQ,Function unknown,,Op2612
SGL_RS04415,SGL_RS04415,NC_000911.1,slr1768,548236,549132,+,prohibitin family protein,"Post-translational modification, protein turnover, and chaperones",,Op327
SGL_RS04420,SGL_RS04420,NC_000911.1,sll1636,549129,549701,-,gamma carbonic anhydrase family protein,Function unknown,,Op751
SGL_RS04425,SGL_RS04425,NC_000911.1,slr1770,549994,550329,+,hypothetical protein,No COG annotation,,Op1123
SGL_RS04430,SGL_RS04430,NC_000911.1,slr1771,550533,552170,+,CocE/NonD family hydrolase,Function unknown,,Op1598
SGL_RS04435,thyX,NC_000911.1,sll1635,552220,552867,-,FAD-dependent thymidylate synthase,Nucleotide transport and metabolism,,Op1980
SGL_RS04440,SGL_RS04440,NC_000911.1,sml0005,553065,553202,-,photosystem II reaction center protein K,"Intracellular trafficking, secretion, and vesicular transport",A0A6P1VHJ6_9SYNC,Op294
SGL_RS04445,SGL_RS04445,NC_000911.1,sll1752,553297,554019,-,1-acyl-sn-glycerol-3-phosphate acyltransferase,Lipid transport and metabolism,,Op992
SGL_RS04450,SGL_RS04450,NC_000911.1,ssr3122,554289,554546,+,BolA family transcriptional regulator,Signal transduction mechanisms,A0A6P1VE26_9SYNC,Op250
SGL_RS04455,grxD,NC_000911.1,slr1846,554727,555050,+,Grx4 family monothiol glutaredoxin,"Post-translational modification, protein turnover, and chaperones",A0A6P1VGS0_9SYNC,Op1750
SGL_RS04460,SGL_RS04460,NC_000911.1,slr1847,555262,555606,+,YbaB/EbfC family nucleoid-associated protein,Function unknown,A0A6P1VEZ1_9SYNC,Op883
SGL_RS04465,hisD,NC_000911.1,slr1848,555642,556946,+,histidinol dehydrogenase,Amino acid transport and metabolism,,Op883
SGL_RS04470,SGL_RS04470,NC_000911.1,slr1849,557423,558979,+,mercuric reductase,Energy production and conversion,,Op1562
SGL_RS04475,SGL_RS04475,NC_000911.1,sll1751,559015,559350,-,hypothetical protein,No COG annotation,,Op2669
SGL_RS04480,ureC,NC_000911.1,sll1750,559461,561170,-,urease subunit alpha,Amino acid transport and metabolism,,Op1305
SGL_RS04485,SGL_RS04485,NC_000911.1,sll1749,561188,561658,-,DUF29 domain-containing protein,No COG annotation,,Op1305
SGL_RS04490,SGL_RS04490,NC_000911.1,sll1749a,561709,561963,-,2TM domain-containing protein,No COG annotation,,Op1164
SGL_RS04495,SGL_RS04495,NC_000911.1,slr1851,562557,563045,+,pentapeptide repeat-containing protein,No COG annotation,,Op2199
SGL_RS04500,SGL_RS04500,NC_000911.1,ssr3129,563138,563290,+,hypothetical protein,No COG annotation,,Op945
SGL_RS04505,SGL_RS04505,NC_000911.1,sll1946,563448,565925,-,phospholipid carrier-dependent glycosyltransferase,Cell wall/membrane/envelope biogenesis,,Op347
SGL_RS04510,SGL_RS04510,NC_000911.1,slr2032,566059,566805,+,DUF561 domain-containing protein,Function unknown,,Op600
SGL_RS04515,dxs,NC_000911.1,sll1945,566983,568905,-,1-deoxy-D-xylulose-5-phosphate synthase,Nucleotide transport and metabolism,,Op2351
SGL_RS04520,SGL_RS04520,NC_000911.1,slr2033,569141,569488,+,rubredoxin,Energy production and conversion,A0A6P1VF01_9SYNC,Op70
SGL_RS04525,SGL_RS04525,NC_000911.1,slr2034,569544,570572,+,photosynthesis system II assembly factor Ycf48,Function unknown,,Op2028
SGL_RS04530,psbE,NC_000911.1,ssr3451,570658,570903,+,cytochrome b559 subunit alpha,Energy production and conversion,A0A6P1VEX7_9SYNC,Op368
SGL_RS04535,psbF,NC_000911.1,smr0006,570940,571074,+,cytochrome b559 subunit beta,RNA processing and modification,A0A6P1VCQ9_9SYNC,Op368
SGL_RS04535,psbF,NC_000911.1,smr0006,570940,571074,+,cytochrome b559 subunit beta,RNA processing and modification,A0A068N498_SYNY4,Op368
SGL_RS04540,SGL_RS04540,NC_000911.1,smr0007,571084,571203,+,photosystem II reaction center protein L,"Intracellular trafficking, secretion, and vesicular transport",A0A6P1VDV4_9SYNC,Op368
SGL_RS04545,SGL_RS04545,NC_000911.1,smr0008,571236,571355,+,photosystem II reaction center protein J,"Intracellular trafficking, secretion, and vesicular transport",A0A6P1VDP6_9SYNC,Op368
SGL_RS04545,SGL_RS04545,NC_000911.1,smr0008,571236,571355,+,photosystem II reaction center protein J,"Intracellular trafficking, secretion, and vesicular transport",A0A068MYD7_SYNY4,Op368
SGL_RS04550,proB,NC_000911.1,slr2035,571440,572567,+,glutamate 5-kinase,Nucleotide transport and metabolism,,Op2590
SGL_RS19785,SGL_RS19785,NC_000911.1,,572729,572906,+,IS701 family transposase,No COG annotation,,
SGL_RS04560,SGL_RS04560,NC_000911.1,slr2036,573494,574510,+,IS4-like element IS4Sa family transposase,No COG annotation,,Op227
SGL_RS04565,SGL_RS04565,NC_000911.1,slr2037,574592,575464,+,hypothetical protein,"Replication, recombination and repair",,Op682
SGL_RS04570,SGL_RS04570,NC_000911.1,slr2038,575477,576127,+,Uma2 family endonuclease,Function unknown,,Op682
SGL_RS04575,SGL_RS04575,NC_000911.1,sll1942,576139,576870,-,hypothetical protein,Cell motility,,Op2157
SGL_RS04580,SGL_RS04580,NC_000911.1,sll1941,576934,579696,-,DNA topoisomerase (ATP-hydrolyzing) subunit A,"Replication, recombination and repair",,Op2157
SGL_RS04585,SGL_RS04585,NC_000911.1,slr2041,579787,580194,+,response regulator,Signal transduction mechanisms,,Op1295
SGL_RS04590,SGL_RS04590,NC_000911.1,slr2042,580228,581055,+,zinc-dependent peptidase,Function unknown,,Op1295
SGL_RS04595,SGL_RS04595,NC_000911.1,sll1940,581052,581474,-,PPC domain-containing protein,Function unknown,,Op98
SGL_RS04600,SGL_RS04600,NC_000911.1,sll1939,581518,582162,-,hypothetical protein,"Replication, recombination and repair",,Op98
SGL_RS04605,SGL_RS04605,NC_000911.1,ssr3465,582238,582477,+,hypothetical protein,No COG annotation,,Op2520
SGL_RS04610,SGL_RS04610,NC_000911.1,sll1938,582481,583092,-,Uma2 family endonuclease,Function unknown,,Op502
SGL_RS04615,SGL_RS04615,NC_000911.1,sll1937,583157,583573,-,Fur family transcriptional regulator,Inorganic ion transport and metabolism,,Op413
SGL_RS04620,SGL_RS04620,NC_000911.1,slr2043,583680,584696,+,zinc ABC transporter substrate-binding protein,Inorganic ion transport and metabolism,,Op2134
SGL_RS04625,SGL_RS04625,NC_000911.1,slr2044,584710,585543,+,metal ABC transporter ATP-binding protein,Inorganic ion transport and metabolism,,Op567
SGL_RS04630,SGL_RS04630,NC_000911.1,slr2045,585497,586342,+,metal ABC transporter permease,"Intracellular trafficking, secretion, and vesicular transport",,Op567
SGL_RS04635,SGL_RS04635,NC_000911.1,ssr3467,586858,587145,+,hypothetical protein,No COG annotation,,Op848
SGL_RS04640,SGL_RS04640,NC_000911.1,slr2046,587228,593125,+,cadherin domain-containing protein,"Secondary metabolites biosynthesis, transport, and catabolism",,Op1492
SGL_RS04645,SGL_RS04645,NC_000911.1,slr2047,593257,594243,+,PhoH family protein,Signal transduction mechanisms,,Op2122
SGL_RS04650,SGL_RS04650,NC_000911.1,slr2048,594454,595650,+,tetratricopeptide repeat protein,Function unknown,,Op1514
SGL_RS04655,SGL_RS04655,NC_000911.1,slr2049,595733,596311,+,phycobiliprotein lyase,Amino acid transport and metabolism,A0A6P1VNK2_9SYNC,Op466
SGL_RS04660,SGL_RS04660,NC_000911.1,slr2051,596498,597247,+,phycobilisome rod-core linker polypeptide,Carbohydrate transport and metabolism,,Op2642
SGL_RS04665,SGL_RS04665,NC_000911.1,slr2052,597591,598487,+,hypothetical protein,No COG annotation,,Op192
SGL_RS04670,SGL_RS04670,NC_000911.1,sll1934,598484,598930,-,hypothetical protein,No COG annotation,,Op1424
SGL_RS04675,SGL_RS04675,NC_000911.1,slr2053,599062,599913,+,alpha/beta fold hydrolase,Lipid transport and metabolism,,Op2639
SGL_RS04680,SGL_RS04680,NC_000911.1,sll1933,599910,600833,-,DnaJ C-terminal domain-containing protein,"Translation, ribosomal structure and biogenesis",,Op1522
SGL_RS04685,dnaK,NC_000911.1,sll1932,600942,603257,-,molecular chaperone DnaK,"Post-translational modification, protein turnover, and chaperones",,Op882
SGL_RS04690,SGL_RS04690,NC_000911.1,sll1931,603443,604726,-,serine hydroxymethyltransferase,Amino acid transport and metabolism,,Op1629
SGL_RS04695,SGL_RS04695,NC_000911.1,,604963,605286,-,IS1 family transposase,"Replication, recombination and repair",,
SGL_RS20210,SGL_RS20210,NC_000911.1,,605541,606035,-,IS630 family transposase,"Replication, recombination and repair",,
SGL_RS20215,SGL_RS20215,NC_000911.1,,606029,606328,-,IS630 transposase-related protein,No COG annotation,,
SGL_RS04705,SGL_RS04705,NC_000911.1,sll1929,606465,608594,-,ComEC/Rec2 family competence protein,Function unknown,,Op2602
SGL_RS18705,SGL_RS18705,NC_000911.1,,608740,609226,+,IS1 family transposase,No COG annotation,,
SGL_RS04710,SGL_RS04710,NC_000911.1,slr1906,609469,610053,+,GNAT family N-acetyltransferase,Transcription,,Op365
SGL_RS04715,SGL_RS04715,NC_000911.1,slr1907,610053,610487,+,hypothetical protein,No COG annotation,,Op1263
SGL_RS04720,SGL_RS04720,NC_000911.1,slr1908,611057,612832,+,iron uptake porin,Cell wall/membrane/envelope biogenesis,,Op1502
SGL_RS19335,SGL_RS19335,NC_000911.1,,612924,613082,+,hypothetical protein,No COG annotation,,
SGL_RS04725,SGL_RS04725,NC_000911.1,slr1909,613102,613743,+,response regulator transcription factor,Transcription,A0A6P1VF41_9SYNC,Op10
SGL_RS04730,SGL_RS04730,NC_000911.1,slr1910,613801,614817,+,N-acetylmuramoyl-L-alanine amidase,Cell wall/membrane/envelope biogenesis,,Op308
SGL_RS04735,SGL_RS04735,NC_000911.1,slr1911,614841,615269,+,hypothetical protein,No COG annotation,,Op308
SGL_RS04740,SGL_RS04740,NC_000911.1,sll1837,615266,615703,-,DUF1036 domain-containing protein,Function unknown,,Op2578
SGL_RS04745,SGL_RS04745,NC_000911.1,slr1912,615968,616324,+,STAS domain-containing protein,Signal transduction mechanisms,,Op984
SGL_RS04750,SGL_RS04750,NC_000911.1,slr1913,616456,616809,+,hypothetical protein,No COG annotation,,Op663
SGL_RS04755,SGL_RS04755,NC_000911.1,slr1914,616912,617178,+,hypothetical protein,No COG annotation,,Op663
SGL_RS04760,SGL_RS04760,NC_000911.1,sll1835,617390,618109,-,CsgG/HfaB family protein,Cell wall/membrane/envelope biogenesis,,Op551
SGL_RS04765,SGL_RS04765,NC_000911.1,sll1834,618311,618694,-,TM2 domain-containing protein,Function unknown,,Op2044
SGL_RS04770,SGL_RS04770,NC_000911.1,slr1915,619215,619529,+,DUF1825 family protein,Function unknown,A0A6P1VGY8_9SYNC,Op2071
SGL_RS04775,SGL_RS04775,NC_000911.1,slr1916,619618,620469,+,alpha/beta hydrolase,Function unknown,,Op315
SGL_RS04780,SGL_RS04780,NC_000911.1,slr1917,620560,621468,+,alpha/beta fold hydrolase,Lipid transport and metabolism,,Op2145
SGL_RS04785,SGL_RS04785,NC_000911.1,slr1918,621618,622247,+,CPP1-like family protein,"Post-translational modification, protein turnover, and chaperones",,Op2526
SGL_RS04790,SGL_RS04790,NC_000911.1,sll1833,622300,624123,-,penicillin-binding protein 2,Cell wall/membrane/envelope biogenesis,,Op2419
SGL_RS04795,SGL_RS04795,NC_000911.1,sll1832,624136,624594,-,hypothetical protein,Signal transduction mechanisms,,Op2419
SGL_RS04800,SGL_RS04800,NC_000911.1,sll1831,624899,626281,-,(Fe-S)-binding protein,Energy production and conversion,,Op637
SGL_RS04805,SGL_RS04805,NC_000911.1,sll1830,626349,627425,-,hypothetical protein,"Translation, ribosomal structure and biogenesis",,Op1817
SGL_RS04810,SGL_RS04810,NC_000911.1,slr1919,627572,629272,+,AarF/ABC1/UbiB kinase family protein,Function unknown,,Op2654
SGL_RS04815,SGL_RS04815,NC_000911.1,slr1920,629398,630504,+,hypothetical protein,No COG annotation,,Op629
SGL_RS04820,SGL_RS04820,NC_000911.1,sll0998,630555,631592,-,LysR family transcriptional regulator,Transcription,,Op1112
SGL_RS04825,SGL_RS04825,NC_000911.1,ssl1911,631896,632093,-,hypothetical protein,No COG annotation,A0A6P1VBZ9_9SYNC,Op429
SGL_RS04830,SGL_RS04830,NC_000911.1,slr1019,632213,633157,+,PhzF family phenazine biosynthesis protein,Function unknown,,Op2273
SGL_RS04840,SGL_RS04840,NC_000911.1,sll0997,633789,634808,-,hypothetical protein,Function unknown,,Op375
SGL_RS04845,miaB,NC_000911.1,sll0996,634892,636247,-,tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB,"Translation, ribosomal structure and biogenesis",,Op375
SGL_RS04850,SGL_RS04850,NC_000911.1,slr1020,636372,637523,+,NAD-dependent epimerase/dehydratase family protein,Carbohydrate transport and metabolism,,Op2416
SGL_RS04855,SGL_RS04855,NC_000911.1,ssr1698,637666,637956,+,DUF2470 domain-containing protein,Inorganic ion transport and metabolism,,Op2670
SGL_RS04860,SGL_RS04860,NC_000911.1,sll0995,637993,638688,-,Uma2 family endonuclease,Function unknown,,Op17
SGL_RS04865,SGL_RS04865,NC_000911.1,sll0994,638774,639496,-,DUF1449 family protein,Function unknown,,Op971
SGL_RS04870,SGL_RS04870,NC_000911.1,sll0993,639516,640613,-,potassium channel protein,Inorganic ion transport and metabolism,,Op971
SGL_RS04875,SGL_RS04875,NC_000911.1,slr1022,640737,642026,+,aspartate aminotransferase family protein,Amino acid transport and metabolism,,Op2631
SGL_RS04880,SGL_RS04880,NC_000911.1,slr1023,642153,642467,+,cupin domain-containing protein,Function unknown,,Op513
SGL_RS04885,SGL_RS04885,NC_000911.1,slr1024,642474,643115,+,PAP/fibrillin family protein,Function unknown,,Op513
SGL_RS04890,SGL_RS04890,NC_000911.1,slr1025,643144,643482,+,hypothetical protein,No COG annotation,,Op513
SGL_RS04895,fghA,NC_000911.1,sll0992,643549,644379,-,S-formylglutathione hydrolase,Function unknown,,Op734
SGL_RS04900,SGL_RS04900,NC_000911.1,sll0990,644388,645497,-,S-(hydroxymethyl)glutathione dehydrogenase/class III alcohol dehydrogenase,Energy production and conversion,,Op734
SGL_RS19435,SGL_RS19435,NC_000911.1,,645696,645833,-,hypothetical protein,No COG annotation,,
SGL_RS04910,SGL_RS04910,NC_000911.1,slr1028,646129,658047,+,SwmB domain-containing protein,No COG annotation,,Op59
SGL_RS04915,bchI,NC_000911.1,slr1030,658262,659335,+,magnesium chelatase ATPase subunit I,Coenzyme transport and metabolism,,Op341
SGL_RS04920,tyrS,NC_000911.1,slr1031,659370,660584,+,tyrosine--tRNA ligase,"Translation, ribosomal structure and biogenesis",,Op341
SGL_RS04925,SGL_RS04925,NC_000911.1,slr1032,660772,661125,+,hypothetical protein,Function unknown,,Op1326
SGL_RS04930,SGL_RS04930,NC_000911.1,slr1033,661152,662819,+,hypothetical protein,No COG annotation,,Op1326
SGL_RS04935,SGL_RS04935,NC_000911.1,,662886,663188,+,S4 domain-containing protein,"Translation, ribosomal structure and biogenesis",,
SGL_RS04940,SGL_RS04940,NC_000911.1,slr1034,663342,663731,+,single-stranded DNA-binding protein,"Replication, recombination and repair",,Op1603
SGL_RS04945,SGL_RS04945,NC_000911.1,slr1035,663788,664315,+,GIY-YIG nuclease family protein,No COG annotation,,Op2014
SGL_RS04950,SGL_RS04950,NC_000911.1,,664394,664775,-,IS1 family transposase,No COG annotation,,
SGL_RS04955,SGL_RS04955,NC_000911.1,sll0985,664903,666945,-,mechanosensitive ion channel family protein,Cell wall/membrane/envelope biogenesis,,Op2629
SGL_RS04960,SGL_RS04960,NC_000911.1,sll0984,666929,667375,-,VOC family protein,Amino acid transport and metabolism,,Op2574
SGL_RS04965,SGL_RS04965,NC_000911.1,slr1037,667447,667842,+,response regulator,Transcription,,Op110
SGL_RS04970,SGL_RS04970,NC_000911.1,sll0983,667852,668772,-,tRNA (5-methylaminomethyl-2-thiouridine)(34)-methyltransferase MnmD,Function unknown,,Op388
SGL_RS04975,SGL_RS04975,NC_000911.1,sll0982,668776,669162,-,hypothetical protein,Function unknown,,Op821
SGL_RS04980,SGL_RS04980,NC_000911.1,sll0981,669254,669751,-,hypothetical protein,No COG annotation,,Op2259
SGL_RS04985,SGL_RS04985,NC_000911.1,sll0980,669759,670949,-,reverse transcriptase-like protein,"Replication, recombination and repair",,Op2259
SGL_RS04990,SGL_RS04990,NC_000911.1,slr1039,671006,671707,+,class I SAM-dependent methyltransferase,"Secondary metabolites biosynthesis, transport, and catabolism",,Op689
SGL_RS04995,SGL_RS04995,NC_000911.1,slr1376,671912,672244,+,hypothetical protein,No COG annotation,A0A6P1VH29_9SYNC,Op1549
SGL_RS05000,lepB,NC_000911.1,slr1377,672291,672947,+,signal peptidase I,"Intracellular trafficking, secretion, and vesicular transport",,Op953
SGL_RS05005,SGL_RS05005,NC_000911.1,slr1378,672989,673612,+,Uma2 family endonuclease,Function unknown,,Op953
SGL_RS05010,SGL_RS05010,NC_000911.1,slr1379,673889,675340,+,cytochrome ubiquinol oxidase subunit I,Energy production and conversion,,Op100
SGL_RS05015,cydB,NC_000911.1,slr1380,675344,676354,+,cytochrome d ubiquinol oxidase subunit II,Energy production and conversion,,Op100
SGL_RS05020,trmB,NC_000911.1,sll1300,676351,676986,-,tRNA (guanosine(46)-N7)-methyltransferase TrmB,"Translation, ribosomal structure and biogenesis",,Op390
SGL_RS05025,SGL_RS05025,NC_000911.1,sll1299,677045,678286,-,acetate/propionate family kinase,Nucleotide transport and metabolism,,Op49
SGL_RS05030,SGL_RS05030,NC_000911.1,sll1298,678283,679023,-,dienelactone hydrolase family protein,"Secondary metabolites biosynthesis, transport, and catabolism",,Op49
SGL_RS05035,SGL_RS05035,NC_000911.1,ssr2315,679295,679510,+,hypothetical protein,No COG annotation,,Op1793
